,id,p_type,s_name,s_area_name,post_time,title,author,content,page_url
687,1546409184581_N01,news,yahoo股市,最新財經新聞,2019-01-02 13:49:00,【台北股市】跌173.27點,中央社 中央社,（中央社台北2019年1月2日電）台北股市今天開平走低收黑，收盤跌173.27點，跌破9600點關卡，為9554.14點，跌幅1.78%，成交金額新台幣721.73億元。<BR>加權指數開盤為9725.27點，盤中最高9737.68點，最低9542.52點；不含金融股指數7991.86點，跌153.85點。<BR>八大類股漲跌幅：泥窯股跌0.27%、食品股跌1.66%、塑化股跌2.69%、紡織股漲0.29%、機電股跌1.93%、造紙股跌0.40%、營建股跌0.58%、金融股跌1.15%。<BR>委買張數1041萬4783張，委賣張數582萬3809張，成交張數317萬6050張。<BR>收盤時上漲285家，下跌535家，持平109家。<BR>成交量前5名個股為元大滬深300正2、元大台灣50反1、富邦VIX、新光金、元大S&P原油正2。<BR>漲幅前5名個股為遠雄來、寶齡富錦、豐泰、佐登-KY、聖馬丁-DR。<BR>跌幅前5名個股為易華電、華映、世紀鋼、銘旺科、台塑化。,https://tw.stock.yahoo.com/news/台北股市-跌173-27點-054935072.html
698,1546410067346_N01,news,yahoo股市,最新財經新聞,2019-01-02 14:03:00,《盤後解析》2019年開紅盤澆冰水，重挫173點,時報資訊,"台股今（2）日為2019年開紅盤就給元月行情澆了一桶冰水，台指期開盤大漲，但台股開小高盤後追價買盤無以為繼，中華電 (2412) 、台積電 (2330) 等權值股下跌，台股同步向下，收盤大跌173點至9554點，摜破9700、9600點兩個整數關卡。台股今日跌破5日線，一根長黑吃掉封關最後兩日的兩根紅K，今日成交金額僅721億元。<BR> 美股2018年封關日收紅，道瓊工業指數上漲265點，但3大指數年線全面收黑。<BR> 台股在2018年封關前兩天共大漲逾200點，但上檔面臨9800及季線關卡，早盤買盤仍審慎。加上兩岸經濟數據不佳，台股今日開高走低，收在相對低點，短多格局遭受破壞。<BR> 民間調查顯示，中國大陸製造業活動19個月來首度萎縮，去年12月財新/Markit製造業採購經理人指數（PMI）從11月的50.2降至49.7。<BR> 另外，中華經濟研究院今天發布台灣2018年12月季調後製造業採購經理人指數（PMI）續跌至44.8%，為2012年7月、指數創編以來最快緊縮速度，主要是美中貿易糾紛以及諸多不確定性因素所致。PMI以50%作為榮枯線，當指數低於50%呈現緊縮。<BR> 中國大陸經濟數據不如預期，使亞洲股市在2019年第一個交易日走低。<BR> 台股今日隨著美股開高，但目前仍是國際股市新年假期，外資買盤尚未完全歸隊，台股成交量能仍低；今早開高走低，元月行情的首日表現不如預期。主要是電信股開低，台積電等蘋概股熄火，電金傳產均整理，仰賴友訊 (2332) 、中磊 (5388) 等本波強勢的網通股撐人氣。<BR> 電子股中華電 (2412) 、台積電 (2330) 等權值股下跌，金融股也越走越低，國泰金 (2882) 、富邦金 (2881) 等走跌，傳產及原物料的台塑 (1301) 四寶亦不支。台股欠缺主流大型股上攻，台積電及股王大立光 (3008) 等蘋果供應鏈收低，2019年開紅盤收盤比早盤高點重挫近200點，表現不如預期。<BR> 台股在2018年年底強拉兩天後，今日一根黑棒幾乎全數吃掉兩根紅棒，5日線失守，短期支撐暫看9,500點，上檔壓力為季線。元旦後開紅盤失利，台股面臨上市櫃公司2018年12月營收公布，第一季則有「高配息」及尾牙行情，但前提是美股走穩以及貿易戰不再有壞消息，才有利元月行情倒吃甘蔗。",https://tw.stock.yahoo.com/news/盤後解析-2019年開紅盤澆冰水-重挫173點-060319343.html
713,1546411838271_N01,news,yahoo股市,最新財經新聞,2019-01-02 14:22:00,【台股盤後】利空衝擊大跌173點 9600大關失守,中央社 中央社,（中央社記者吳家豪台北2019年1月2日電）市場擔心兩岸關係不穩，加上港股大跌、中國PMI跌破枯榮分水嶺，台股今天遭利空衝擊，失守9600點大關；法人認為，台股元月行情宜審慎，指數反彈空間有限。<BR>台股今天開低震盪，10時後權值股跌勢擴大，加權指數跌破9600點大關，最低來到9542.52點，盤中大跌逾180點，終場收在9554.14點，下跌173.27點，跌幅1.78%，成交值新台幣721.73億元。<BR>8大類股多數收黑，跌勢較重的包括塑膠股跌3.57%、電子股跌2%、食品股跌1.66%、金融股跌1.15%，營建、造紙、水泥股分別下跌0.58%、0.4%、0.35%；紡織股逆勢上漲0.29%。<BR>權值電子股鴻海 (2317) 今天開高走低翻黑，收在70.1元，下跌0.99%，成交量1.66萬張；台積電 (2330) 收219.5元，跌2.66%，成交量3.29萬張；股王大立光 (3008) 大跌4.82%，收3060元，守住3000元關卡，成交量941張。<BR>被動元件股龍頭國巨 (2327) 跌1.57%，收314元；同族群的奇力新 (2456) 、禾伸堂 (3026) 逆勢上揚0.13%、1.44%，收78.6元、105.5元；華新科 (2492) 收平盤154元。<BR>5G概念股今天表現弱勢，電信股的中華電信 (2412) 大跌5.31%，收107元；遠傳 (4904) 也重挫5.24%，收72.4元；台灣大 (3045) 小漲0.47%，收107元。<BR>金融股普遍收黑，富邦金 (2881) 跌2.02%，收46.1元；國泰金 (2882) 跌2.34%，收45.9元；兆豐金 (2886) 跌1.93%，收25.45元；中信金 (2891) 跌1.49%，收19.9元。<BR>國泰證期指出，美中貿易談判重啟，然而整體需求下滑、消費者信心保守，且企業獲利與全球經濟下修還在上演，台股傳統元月行情的軋空、跌深反彈雖可期待，但宜審慎；儘管美中談判進展有利股市回穩，但除非有重大突破利多，否則指數反彈空間有限。,https://tw.stock.yahoo.com/news/台股盤後-利空衝擊大跌173點-9600大關失守-062243646.html
725,1546412732591_N01,news,yahoo股市,重大要聞,2019-01-02 14:42:00,台股盤後─紅盤日行情落寞大跌173點 惟價跌量縮仍有利元月行情,鉅亨網 鉅亨網記者王莞甯 台北,台股今 (2) 日開紅盤，但行情不如市場預期，早盤開平走弱後，隨著港股和陸股跳水殺盤，加權指數跟著持續探低，終場跌 173.27 點收在 9554.14 點，跌幅 1.78%，多數權值股成為壓盤重心，惟成交值僅 722 億元，顯示多數投資人仍持觀望態度，法人認為，價跌量縮格局有利元月行情後續表態。<BR> 儘管美中將針對貿易協商，暫時緩和市場不安氣氛，不過，甫公布的 12 月財新中國製造業採購經理人指數 (PMI) 僅 49.7，是 2017 年 6 月以來首次跌至 50 以下的景氣衰退區間，顯示中國經濟下滑壓力逐漸擴大，令陸港股均殺聲隆隆。<BR> 隨著亞股不支，台股多數大型權值股遭受強大賣壓，遠傳在 50 大權值股中領跌，跌幅多達半根停板，中華電、台塑化均跌逾 4%，大立光和台化跌超過 3%，而台積電、聯發科、日月光投控、統一超、統一等均跌逾 2%。<BR> 而大型金控業者也無法發揮穩盤力道，新光金、國泰金、富邦金和兆豐金跌 2% 上下，元大金、中信金、永豐金和第一金等均跌逾 1%。<BR> 整體來看，50 檔權值股中僅 10 檔維持平盤之上，權值股的賣壓重是大盤最大壓力來源，僅見到可成、中租 - KY 漲 1% 相對抗跌。<BR> 所幸，從細族群來看，仍有逆勢走揚的個股，特別是 5G 概念熱絡，其中，光纖相關業者表現不俗，聯光通、光環漲停，波若威逼近漲停，華星光漲逾 8%，統新也有近 7% 漲幅。<BR> 而砷化鎵業者也相對抗跌，聯亞攻上漲停板，穩懋漲逾 2%，全新和宏捷科漲逾 1%，顯示具有基本面的業者仍有匯集多方人氣的能力，甚至在大盤不穩之際成為避風港。<BR> 法人指出，近日市場訊息仍相當紛雜，從成交值低迷的狀況可見市場觀望態度濃厚，其中，在 1 月 7 日美中貿易戰新一輪協商結果出爐前，國際股市要有明顯表現不易，而台股持續處在區間整的可能性偏高。,https://tw.stock.yahoo.com/news/台股盤後-紅盤日行情落寞大跌173點-惟價跌量縮仍有利元月行情-064235473.html
1198,1546478522700_N01,news,yahoo股市,重大要聞,2019-01-03 08:37:00,【大慶證券】盤前分析－賣壓沉重 台股力守前低9400點關卡,鉅亨網 大慶證券,◆盤勢分析<BR> 美國四大指數早盤開低大跌近 1.5-1.9%，主因全球公佈 12 月製造業採購經理人指數 (PMI) 表現不佳，投資人擔憂經濟下滑，所幸在油價彈升刺激能源股回溫下，美股終場全面收紅，呈現開低走高的格局，其中以費半指數上漲 0.9% 漲幅最大，延續波段反彈行情，但觀察中美貿易、英國脫歐等國際事件持續干擾，加上技術面上檔面臨月、季線反壓，研判美股維持區間震盪走勢不變，聚焦國際政經事件後續發展與本周五將公佈的非農就業數據。<BR> 美股終場延續反彈行情全面上漲作收，但最新公佈的 12 月亞洲區製造業 PMI 普遍跌破 50 榮枯線，導致陸股、韓股、港股等亞洲區股市開盤即重挫，拖累台股昨日開低後雖曾一度翻紅至 9737 點，盤中仍不敵賣壓一路下跌，終場再次跌破 9600 點關卡以 9554 點作收，下跌 1.78%，成交量僅 725 億元，技術面更留下長黑 K 再次跌破五日線，一黑吃兩紅，上方月、季線反壓沉重，且外資期貨多單減碼 11255 口，日 KD 指標的 K 值也反轉向下，短線恐將持續修正，不過在前低 9400 點未有效跌破前，指數持續以區間震盪格局視之。<BR> 盤面表現方面，主要權值股包含台積電、大立光、台塑化、台化，甚至中華電都大跌 2.5%-5.5% 不等，相關金融股包含國泰金、富邦金、中信金、兆豐金等也同步走跌，拖累台股大盤指數表現疲軟，值得注意的是，蘋果昨日因中國市場需求放緩下修第一季財測，使盤後交易下跌近 8%，恐影響今日蘋概股表現，操作上建議保守以對。相較之下，櫃買指數則守穩在平盤之上，顯示中小型股表現相對亮眼，除了受惠 5G 題材的 PCB 個股如光環、先豐、台燿等扮演撐盤角色，跌深的紡織族群如豐泰、聚陽、儒鴻等也展現反彈行情，生技股如寶齡富錦、佐登 - KY、泰博、美時等具有基本面展望的個股也逆勢走揚，顯示在國際情勢不確定性仍高、台股量能低迷的情況下，多方追價意願不高，盤面以個股輪動表現為主，選股建議以 5G、電動車、利基型 IC、生技等族群為主，操作上須嚴守紀律，順勢而為。<BR>,https://tw.stock.yahoo.com/news/大慶證券-盤前分析-賣壓沉重-台股力守前低9400點關卡-003742446.html
1285,1546480261958_N01,news,yahoo股市,最新財經新聞,2019-01-03 09:33:00,《台北股市》蘋果下修財測、期指帶頭殺，台股開盤跌破9500,時報資訊,受制美商蘋果(APPLE)罕見下修上季度財測，除使該股於美股周三盤後崩落約7.5%外，也使今早台股甫開市的蘋果供應鏈概念股承壓，在台積電、鴻海與股王大立光等領跌下，集中交易市場加權股價指數開盤即空下跌，失守9500點。<BR> 周四開出的第一盤的加權指數，暫報9494.25點，下挫59.89點，跌幅0.63%，成交27.05億元。<BR> 台指期、電子期、金融期與摩台期等4大期指方面，目前也都臉色鐵青，呈現開低殺低窘境，暫報下挫0.67%、1.02%、0.22%及1.03%。<BR> 權值股方面，大盤開盤9分鐘後，目前中華電、中信金、廣達、群創、台塑、南亞、亞泥、長榮、第一金與聯發科等，暫站在多方；台積電、鴻海、國泰金、富邦金、兆豐金、南亞科、長榮航、華航、日月光投控、聯電、仁寶、遠東新、統一、和碩、台灣大及台達電等，暫表現疲軟。<BR> 股王與股后方面，股王大立光開低，目前面臨3千元大關保衛戰，暫報3005元，下跌1.8%；股后信驊同樣開低，現下暫報594元，下挫0.67%。(新聞來源：工商即時 梅中和),https://tw.stock.yahoo.com/news/台北股市-蘋果下修財測-期指帶頭殺-台股開盤跌破9500-013337300.html
1497,1546495571426_1_N01,news,yahoo股市,最新財經新聞,2019-01-03 13:48:00,【台北股市】跌61.72點,中央社 中央社,（中央社台北2019年1月3日電）台北股市今天開低走低，收盤跌61.72點，為9492.42點，跌幅0.65%，成交金額新台幣896.82億元。<BR>加權指數開盤為9494.25點，盤中最高9554.53點，最低9474.47點；不含金融股指數7934.55點，跌57.31點。<BR>八大類股漲跌幅：泥窯股跌0.41%、食品股跌0.60%、塑化股跌0.22%、紡織股跌0.02%、機電股跌1.20%、造紙股跌0.23%、營建股漲0.31%、金融股跌0.23%。<BR>委買張數1115萬5880張，委賣張數644萬6610張，成交張數389萬4091張。<BR>收盤時上漲305家，下跌492家，持平133家。<BR>成交量前5名個股為元大台灣50反1、新光金、元大滬深300正2、欣興、富邦VIX。<BR>漲幅前5名個股為巨大、漢平、倫飛、日馳、耀傑-DR。<BR>跌幅前5名個股為創意、遠雄來、聖馬丁-DR、互億、嘉聯益。,https://tw.stock.yahoo.com/news/台北股市-跌61-72點-054810351.html
2093,1546566689798_N01,news,yahoo股市,最新財經新聞,2019-01-04 09:31:00,《台北股市》台股早盤大跌逾140點，失守9400點,時報資訊,受制美股道瓊工業指數周四大跌逾660點，且蘋果股更是因下修財測而大暴跌，使台北股市今早盤承壓，在蘋果相關供應鏈包括台積電、鴻海、股王大立光、可成與台郡等持續向下探底，且金融傳產權值股如國泰金、富邦金、長榮、遠東新及南亞等也表現不振下，使盤勢開低殺低，早盤開市十分鐘內，一度大跌逾140點，最低點來到9347.89點。<BR> 台股集中交易市場周五甫開市，暫報下跌65.18點，加權股價指數為9427.24點，成交金額新台幣18.51億元。<BR> 不過，受制市場持股信不振，目前迄上午9：17的加權指數進一步下挫至9366點，大跌126點，跌幅1.33%，成交值則擴大至186億元。（新聞來源：工商即時 梅中和報導）,https://tw.stock.yahoo.com/news/台北股市-台股早盤大跌逾140點-失守9400點-013133615.html
2161,1546571148452_N01,news,yahoo股市,重大要聞,2019-01-04 10:30:00,台股盤中─蘋果利空罩頂 指數放量重挫破底 回測9300點支撐,鉅亨網 鉅亨網記者王莞甯 台北,在美股再度重挫衝擊下，亞股續弱，除日股今 (4) 日結束年假補跌重挫逾 3.5%，台股因多檔大型權值股與蘋果股價連動度高，跌幅較陸港韓股重，加權指數盤中跌點一度超過 160 點，失守 10 月創下的前低 9400.69 點重要支撐，跌幅逾 1%，櫃買指數同樣弱勢，跌幅達 1.5%。<BR> 加權指數今日以 9427.24 點、下跌 65.18 點開出後，隨即持續向下探低，盤中最低來到 9319.28 點，估計成交量突破 1100 億元，分析師表示，自 12 月下旬以來台股均未突破千億量能，今日盤中見到放量重挫失守前低，整體大盤短線難期待，所幸，陸港股開盤後顯然有撐，有助台股跌幅收斂。<BR> 蘋果昨股價重挫近 10%，蘋概供應鏈連袂受到大幅衝擊，可成重挫跌 7%，頎邦跌近半根停板，大立光、台積電、鴻準、華通和美律等跌逾 3%，鴻海、和碩和台郡跌逾 2%。<BR> 電金大型權值股顯然也持續受到法人提款，國巨、聯發科跌逾 3%，南亞科、光寶科跌 2% 上下，日月光投控、群創、廣達和遠東新跌 1% 以上；金控業者同樣未能發揮穩盤作用，富邦金、國泰金、開發金、合庫金、台新金、中壽和兆豐金等均遭壓在盤下。<BR> 在大立光重挫續跌壓力之下，光學鏡頭廠同步壓回，先進光跌半根停板，新鉅科、聯一光和玉晶光跌 4%，亞光、佳凌和今國光均跌逾 2%。<BR> 而隨著特斯拉降價跌破市場眼鏡，電動車相關供應鏈表現低迷，貿聯 - KY 跌逾 4.5%，而電池族群包括美琪瑪、康普和長園科均跌逾 3%。<BR> 反觀生技業者因市況被解讀成相對不受景氣影響，部分個股明顯成為資金避風港，基亞漲逾 6%，佰研漲半根停板，泰博、訊聯、大江、晟德、浩鼎和健喬等均穩在盤上。<BR> 元大投顧指出，近幾個交易日來自國際金融市場的利空是一波接一波，先是中國經濟數據大幅低於預期，又有蘋果因 iPhone 銷售不佳下調首季財測，使景氣衰退的疑慮加深，外資調節台股，短期的選股重點應放在內資著墨的個股為主，如 5G 網通、生技、運動相關等。,https://tw.stock.yahoo.com/news/台股盤中-蘋果利空罩頂-指數放量重挫破底-回測9300點支撐-023045926.html
2304,1546582042320_N01,news,yahoo股市,最新財經新聞,2019-01-04 13:46:00,【台北股市】跌109.91點,中央社 中央社,（中央社台北2019年1月4日電）台北股市今天開低走低，收盤跌109.91點，為9382.51點，跌破9400點關卡，跌幅1.16%，成交金額新台幣1059.84元。<BR>加權指數開盤為9427.24點，盤中最高9427.24點，最低9319.28點；不含金融股指數7836.91點，跌97.64點。<BR>八大類股漲跌幅：泥窯股漲0.19%、食品股漲0.34%、塑化股跌0.30%、紡織股跌0.13%、機電股跌1.97%、造紙股跌0.33%、營建股跌0.07%、金融股跌0.74%。<BR>委買張數1200萬6154張，委賣張數713萬7551張，成交張數461萬2696張。<BR>收盤時上漲244家，下跌573家，持平112家。<BR>成交量前5名個股為元大台灣50反1、元大滬深300正2、新光金、元大S&P原油正2、台積電。<BR>漲幅前5名個股為聖馬丁-DR、明輝-DR、云辰、神隆、元大S&P原油正2。<BR>跌幅前5名個股為世紀鋼、晟鈦、定穎、可成、矽創。,https://tw.stock.yahoo.com/news/台北股市-跌109-91點-054645281.html
