,id,p_type,s_name,s_area_name,post_time,title,author,content,page_url
135,1546389396595_N01,news,yahoo股市,最新財經新聞,2019-01-02 07:54:00,《台北股市》15檔價量齊揚，新年強棒,時報資訊,"台股2018年最後一個交易日，以急拉85點、收9,727點完美封關，不過，封關周買盤觀望量能不出，智邦 （2345） 、兆豐金 （2886） 、彩晶 （6116） 等多方逆勢追捧價量齊揚，近兩周又獲外資買超青睞，可望打響新年開盤第一砲，穩步上攻。<BR> 2018年封關前夕，大盤指數連2日急漲，封關日以上漲85點、0.89％收9,727點，站回9,700整數大關，不過，封關前投資人現金為王，周日均量僅736億元，買氣疲弱。<BR> 台新投顧協理范婉瑜認為，台股本周一休市，美股及部分歐股仍開盤，導致市場觀望情緒濃，然上周價量齊揚、又獲法人買超股，不僅追價動能強勁，更代表在國際股市持續開市之際，法人勇敢買進，可望是新年開盤強勢股。<BR> 日盛投顧協理鐘國忠指出，投信、自營商年底衝績效，上周五拉抬力道可見一斑，新年開市後須提防下車賣壓，不過外資耶誕放假去，未有作帳壓力，仍能於耶誕節前後獲得外資買超的個股，可望就是外資2019年看好的布局股。<BR> 據法人建議，篩選上周價量齊揚、外資續買、且近2周買超最多股，電子股有智邦、彩晶、貿聯-KY、宣德、雙鴻、超眾、兆利、和碩、新鉅科等9檔，傳產股有聚陽、泰博、泰山、科妍、台塑化等5檔，金融股則有兆豐金1檔。<BR> 其中，智邦、聚陽、泰山、兆利、新鉅科等5檔，成交量較前一周翻倍；技術面站上所有均線之上的個股，則有智邦、聚陽、貿聯-KY、泰博、雙鴻、超眾、泰山、兆利、新鉅科等9檔。<BR> 智邦2018年累計前11月營收381.5億元，年增17.45％，第4季逢傳統旺季，2019年第2季400G交換器可望出貨，業績可期，上周獲外資買超6,359張，近2周買超1.2萬張，推升股價周漲1.02％收98.6元。（新聞來源：工商時報─涂憶君╱台北報導）",https://tw.stock.yahoo.com/news/台北股市-15檔價量齊揚-新年強棒-235447003.html
375,1546394806432_N01,news,yahoo股市,最新財經新聞,2019-01-02 09:44:00,《金融股》庫藏股護體，統一證勁揚,時報資訊,統一證券 （2855） 近期股價回測逾2年來低點，董事會決議自今（2）日起執行庫藏股，預計2個月內在8.05∼18.36元間買回3萬張自家股票。在庫藏股護體下，今早股價開高放量勁揚，最高上漲6.09％至12.2元，早盤維持逾4％漲幅。<BR> 統一證去年1月底觸及15.7元的2年半高點，至7月均持穩14.5∼15.15元間震盪，惟隨後出現3段階梯式下滑，去年12月21日盤中下探10.85元、終場收於11元，均創2016年11月中以來2年1個月低點，股價修正近3成。<BR> 為維護公司信用及股東權益，統一證決議自今（2）日起至2月27日間執行庫藏股，預定買回3萬張股票，買回區間為8.05∼18.36元，若低於下限時仍將繼續執行。<BR> 統一證上次執行庫藏股為2016年1月28日至3月25日，預定買回3萬張、實際買回8548張，執行率僅28％。公司表示，此次買回股份總數上限僅占公司已發行股份2.16％，且買回股份所需金額上限僅占公司流動資產0.68％，此次股份買回不影響公司資本維持。<BR> 統一證2018年11月自結稅前虧損8123.7萬元、稅後虧損6643萬元，稅前每股虧損0.058元、稅後每股虧損0.048元。累計1∼11月稅前獲利14.13億元、稅後淨利11.97億元，稅前每股盈餘1.016元、稅後每股盈餘0.861元。,https://tw.stock.yahoo.com/news/金融股-庫藏股護體-統-證勁揚-014416663.html
3139,1546821367844_N01,news,yahoo股市,最新財經新聞,2019-01-07 08:13:00,【統一證券晨訊】美股強彈 台股反彈行情可期,中央社 中央社,日期：2019年 1月 7日<BR>※盤勢分析<BR>美中股市強彈，台股可望破底翻<BR>※昨日盤勢<BR>因蘋果財測及ISM製造業指數表現不佳，上周五美股四大指數重挫，拖累台股早盤以下跌65點的9427點開出後，指數一度殺低至9319點，但在陸股、美股道瓊期貨雙雙拉升帶動下，權值類股包括台塑化、中華電、統一、中鋼等均跌幅收斂後翻紅，使指數跌幅顯著收斂，終場並以黑K帶長下影線作收。觀察盤面變化，三大類股均呈下跌，電子、金融、傳產分別下跌2%、0.74%及0.06%；在次族群部份，以生技醫療、其他類及百貨貿易類表現較強，分別上漲1.47%、0.66%及0.5%。終場指數下跌109點，收在9382點，周線以黑K作收；成交量能提升至1059億元。<BR>※資金動向<BR>三大法人合計賣超55.63億元。其中外資賣超92.86億元，投信賣超10.1億元，自營商買超47.34億元。外資買超前五大為群創、嘉聯益、中鋼、台灣高鐵、華航；賣超前五大為新光金、台積電、聯電、鴻海、仁寶。投信買超前五大為大成鋼、智邦、光寶科、欣興、台達電；賣超前五大為開發金、合晶、台積電、世紀鋼頎邦。資券變化方面，融資減8.64億元，融資餘額為1261.55億元，融券減1.41萬張，融券餘額為57.67萬張。外資台指期部位，多單減碼3601口，淨多單部位29651口。借券賣出金額為42.77億元。類股成交比重：電子74%、傳產19.95%、金融6.05%。<BR>※今日盤勢分析<BR>雖受到蘋果調降財測引發股價重挫，使上周五台股走勢再度承壓；但台股身為蘋果供應鏈重鎮，多次提前反應拉貨動能下滑，利空已逐步鈍化。對台股後市行情，分析如下：<BR>第一、國際股市部分。美國公布12月非農就業報告，新增就業人數為31.2萬人，大幅優於市場預期的18.4萬人，顯現美國的勞動力成長狀況仍然強勁；且聯準會主席鮑威爾指出，如有需要將調整縮減資產負債表的步伐，顯示FED貨幣政策已全面轉向寬鬆基調，可望刺激全球股市下一波上攻動能。<BR>第二、陸股於上周五不畏美股重挫，在美國貿易代表訪華進行副部長級協商會談，以及資本市場改革創新政策紅利的釋放，激勵滬深兩市強勢上攻，上證指數更收復2500點關卡；傍晚官方更宣布實施降準，於1月15日和1月25日分別下調0.5%，力道超出以往；在美中兩國的貨幣政策機構均做寬鬆表態，風險市場資產將首先受益，全年飽受貿易戰所苦的中國股市可望藉此激勵因素展開反彈行情。<BR>第三、技術面觀察。台股指數上周五再受國際股市拖累，雖指數跌破2018年10月低點，但在利空反映完畢下，仍拉出長下影線作收；目前台股技術面上維持箱型整理態勢，籌碼面上法人調節幅度有限，靜待國際股市消化產業面悲觀情緒後，仍可望打底上攻。<BR>第四、盤面焦點觀察。生技族群因醫藥、醫美雙題材帶動，已經連續三日為台股焦點，達邦蛋白、瑞基、神隆、云辰、基亞等股價表現皆顯著優於大盤。受惠CES展相關應用題材，5G網通族群再度上攻，包括波若威、統新、光環、中磊、啟�等表現強勢。受彰化離岸風電優惠躉購費率卡觀影響，海外開發商暫停計畫使風電概念股受挫，世紀鋼重挫跌停鎖死。<BR>※投資策略<BR>上周五台股受到美股大跌的拖累下，盤勢跳空開低，跌破去年10月9400的低點，但尾盤跌幅收斂，終場收長下影線。考量美國的就業數據大幅優於預期、而且聯準會立場明顯轉向鴿派，激勵上周五晚間美股大漲7百多點，加上中國放出降準的利多，且中美貿易戰持續往良性發展，可望帶動台股同步展開反彈行情，建議逢低佈局操作，選股上以高殖利率概念股、自行車及5G題材股等為首選。<BR>,https://tw.stock.yahoo.com/news/統-證券晨訊-美股強彈-台股反彈行情可期-001359876.html
3209,1546824041661_N01,news,yahoo股市,重大要聞,2019-01-07 08:49:00,統一證券：台股可望展開反彈行情,Moneydj理財網,：<BR> 因蘋果財測及ISM製造業指數表現不佳，上周五美股四大指數重挫，拖累台股早盤以下跌65點的9427點開出後，指數一度殺低至9319點，但在陸股、美股道瓊期貨雙雙拉升帶動下，權值類股包括台塑化、中華電、統一、中鋼等均跌幅收斂後翻紅，使指數跌幅顯著收斂，終場並以黑K帶長下影線作收。觀察盤面變化，三大類股均呈下跌，電子、金融、傳產分別下跌2%、0.74%及0.06%；在次族群部份，以生技醫療、其他類及百貨貿易類表現較強，分別上漲1.47%、0.66%及0.5%。終場指數下跌109點，收在9382點，周線以黑K作收；成交量能提升至1059億元。<BR> <BR> ：<BR> 三大法人合計賣超55.63億元。其中外資賣超92.86億元，投信賣超10.1億元，自營商買超47.34億元。外資買超前五大為群創、嘉聯益、中鋼、台灣高鐵、華航；賣超前五大為新光金、台積電、聯電、鴻海、仁寶。投信買超前五大為大成鋼、智邦、光寶科、欣興、台達電；賣超前五大為開發金、合晶、台積電、世紀鋼頎邦。資券變化方面，融資減8.64億元，融資餘額為1261.55億元，融券減1.41萬張，融券餘額為57.67萬張。外資台指期部位，多單減碼3601口，淨多單部位29651口。借券賣出金額為42.77億元。類股成交比重：電子74%、傳產19.95%、金融6.05%。<BR> <BR> ：<BR> 雖受到蘋果調降財測引發股價重挫，使上周五台股走勢再度承壓；但台股身為蘋果供應鏈重鎮，多次提前反應拉貨動能下滑，利空已逐步鈍化。對台股後市行情，分析如下：<BR>第一、國際股市部分。美國公布12月非農就業報告，新增就業人數為31.2萬人，大幅優於市場預期的18.4萬人，顯現美國的勞動力成長狀況仍然強勁；且聯準會主席鮑威爾指出，如有需要將調整縮減資產負債表的步伐，顯示FED貨幣政策已全面轉向寬鬆基調，可望刺激全球股市下一波上攻動能。<BR>第二、陸股於上周五不畏美股重挫，在美國貿易代表訪華進行副部長級協商會談，以及資本市場改革創新政策紅利的釋放，激勵滬深兩市強勢上攻，上證指數更收復2500點關卡；傍晚官方更宣布實施降準，於1月15日和1月25日分別下調0.5%，力道超出以往；在美中兩國的貨幣政策機構均做寬鬆表態，風險市場資產將首先受益，全年飽受貿易戰所苦的中國股市可望藉此激勵因素展開反彈行情。<BR>第三、技術面觀察。台股指數上周五再受國際股市拖累，雖指數跌破2018年10月低點，但在利空反映完畢下，仍拉出長下影線作收；目前台股技術面上維持箱型整理態勢，籌碼面上法人調節幅度有限，靜待國際股市消化產業面悲觀情緒後，仍可望打底上攻。<BR>第四、盤面焦點觀察。生技族群因醫藥、醫美雙題材帶動，已經連續三日為台股焦點，達邦蛋白、瑞基、神隆、云辰、基亞等股價表現皆顯著優於大盤。受惠CES展相關應用題材，5G網通族群再度上攻，包括波若威、統新、光環、中磊、啟?硉左穛{強勢。受彰化離岸風電優惠躉購費率卡觀影響，海外開發商暫停計畫使風電概念股受挫，世紀鋼重挫跌停鎖死。<BR> <BR> ：<BR> 上周五台股受到美股大跌的拖累下，盤勢跳空開低，跌破去年10月9400的低點，但尾盤跌幅收斂，終場收長下影線。考量美國的就業數據大幅優於預期、而且聯準會立場明顯轉向鴿派，激勵上周五晚間美股大漲7百多點，加上中國放出降準的利多，且中美貿易戰持續往良性發展，可望帶動台股同步展開反彈行情，建議逢低佈局操作，選股上以高殖利率概念股、自行車及5G題材股等為首選。,https://tw.stock.yahoo.com/news/統-證券-台股可望展開反彈行情-004901618.html
3397,1546833038351_N01,news,yahoo股市,重大要聞,2019-01-07 11:23:00,台股盤中—受美股大漲激勵 蘋概三雄領軍衝鋒 指數大漲逾200點,鉅亨網 鉅亨網記者林薏茹 台北,受惠美股道瓊工業指數周五大漲逾 700 點激勵，台股今 (7) 日開盤跳空大漲，蘋概三雄齊翻揚，帶動先前跌深反彈的蘋概股同步走強，台塑四寶等傳產權值股強勢表態，國泰金、富邦金與中信金等金融族群同站多方，盤中指數大漲逾百點，且一度強漲逾 200 點，成功站回 5 日與 10 日線，預估今日成交量約 980 億元。<BR> 台股今日開盤大漲 77.69 點，以 9460.2 點開出後一路走高，盤中最高點為 9585.99 點；櫃買市場今日股價同樣開高走高，以 122.65 點開出，盤中最高來到 124.16 點。<BR> 蘋概三雄部分，以股王大立光表現最強勢，不畏 12 月營收衰退消息影響，大立光今日開高走高，成功站回上周五失守的 3000 元整數大關，盤中強漲逾 8.7%、來到 3160 元，重新站回 5 日線；台積電同樣展現強漲氣勢，盤中大漲逾 2.6%、來到 213.5 元；鴻海也上漲超過 2%、來到 69 元，挑戰站回 5 日線。<BR> 在蘋概三雄領軍之下，蘋概股今日展開跌深反彈，GIS-KY 盤中亮燈漲停，金像電大漲超過 6%，致茂也大漲逾 5%，TPK-KY、可成、美律大漲超過 4%，欣興上漲超過 3%。<BR> 光通訊族群再度挾 5G 題材強漲，光環、聯亞大漲超過 7%，華星光漲幅超過 6%，眾達 - KY 則上漲超過 4%。<BR> 光學族群今日也在大立光大漲帶動下，同步走強，新鉅科開盤隨即亮燈漲停鎖住，玉晶光大漲超過 6%，華晶科也大漲近 6%，亞光、今國光上漲超過 4％。<BR> 分析師指出，受到美股收高帶動下，台股今日強勢反彈，但上周四五大盤下殺時的成交量，均超過千億元，預期今日反彈量仍無法突破千億元大關，若要明顯呈現多空扭轉，量能上必須有所支持，低檔支撐仍有待確認，弱勢格局還有需要化解的空間。,https://tw.stock.yahoo.com/news/台股盤中-受美股大漲激勵-蘋概三雄領軍衝鋒-指數大漲逾200點-032317140.html
3501,1546841185665_N01,news,yahoo股市,最新財經新聞,2019-01-07 13:50:00,【台北股市】大漲207.79點,中央社 中央社,（中央社台北2019年1月 7日電）台北股市受美股反彈激勵，今天跳空開高，收盤大漲207.79點，為9590.30點，漲幅2.21%，成交金額新台幣918.67億元。<BR>加權指數開盤為9460.20點，盤中最高9596.35點，最低9460.20點；不含金融股指數8017.82點，勁揚180.91點。<BR>八大類股漲跌幅：泥窯股漲1.89%、食品股漲2.81%、塑化股漲3.08%、紡織股漲1.86%、機電股漲2.23%、造紙股漲0.68%、營建股漲1.24%、金融股漲1.68%。<BR>委買張數1167萬1954張，委賣張數703萬5011張，成交張數425萬2471張。<BR>收盤時上漲739家，下跌95家，持平89家。<BR>成交量前5名個股為元大滬深300正2、元大台灣50反1、新光金、元大S&P原油正2、欣興。<BR>漲幅前5名個股為豐達科、GIS-KY、金像電、艾美特-KY、麗正。<BR>跌幅前5名個股為富邦VIX、銘旺科、聖馬丁-DR、富邦NASDAQ反1、杜康-DR。1080107,https://tw.stock.yahoo.com/news/台北股市-大漲207-79點-055004136.html
3622,1546846630563_N01,news,yahoo股市,重大要聞,2019-01-07 15:13:00,《集中市場》台股揚眉吐氣，三大法人買超105.92億元,時報資訊,受到FED主席逐漸傾向鴿派、暗示調整升息腳步，加上非農就業數據亮眼，激勵上周五美股四大指數全面強彈。台股今日跳空大漲，啟動報復性反彈，直取9400、9500點，台塑 (1301) 、台積電、大立光、鴻海、中鋼 (2002) 、仁寶 (2324) 等權值股全面反攻上揚，類股全體翻紅動起來，盤中一度觸及9596.35點，9600僅差幾步之遙，該整數關卡成壓力區，分析師認為，台股目前為熊市反彈，短線要關注今日開始的中美貿易談判後續。周一收盤報9590.30點，上漲207.79點或2.21%，成交金額920.57億元，成功站回5日與10日線。今日外資(不含外資自營商)買超82.3374億元，投信買超8.3316億元，自營商買超15.2604億元，三大法人買超105.92億元。<BR> 蘋概股周一大吐悶氣，17日將舉辦法說會的台積電 (2330) 甩外資看淡氣氛，股價收漲2.4%，重返210元至213元。本周四亦將舉行法說會的大立光 (3008) 預估本月營收將與上月持平，股價喜孜孜大漲6.88%，一度摸及3165元。而鴻海 (2317) 也一掃蘋果陰霾，市值重返9600億元、收漲2.51%。帶動其他蘋概個股如可成 (2474) 、玉晶光 (3406) 、TPK-KY (3673) 走強，GIS-KY (6456) 更是飆上漲停。周三9日CES即將登場，技嘉 (2376) 、微星 (2377) 、華碩 (2357) 秀電競亮點，股價持續攻堅，安力-KY (5223) 上季業績拚改寫8季新高，也預估Q1業績勝去年同期，衝上漲停價，宏正 (6277) 也一度漲逾半根漲停板。防疫題材持續在生技、食品族群發酵，神隆 (1789) 、卜蜂 (1215) 、大成 (1210) 股價續飄香。傳產鋼鐵股的部分，大陸寶鋼產品價格止跌反彈，且營運利多激勵，台灣個股如豐達科 (3004) 衝上漲停，以及豐興 (2015) 、中鋼 (2002) 、燁興 (2007) 、中鴻 (2014) 、新光鋼 (2031) 、大成鋼 (2027) 、佳大 (2033) 、世紀鋼 (9958) 等今股價走揚。營運股的華固 (2548) 今年迎入帳潮拚翻轉大賺，今股價爆量長紅，華建 (2530) 、太子 (2511) 也因業績利多，今盤勢紅光滿面。自行車族群受惠需求回溫，今年營運看旺，巨大 (9921) 、美利達 (9914) 領軍，日馳 (1526) 等跟風，紛紛衝鋒收紅盤，上銀 (2049) 、和大 (1536) 、鼎炫-KY (8499) 也因去年營運創新高，股價飛揚。5G概念股的金像電 (2368) 、台達電 (2308) 齊步衝鋒。今各類股指數皆收紅，半導體股的華邦電 (2344) 、神盾 (6462) 、智原 (3035) 以及航運股的台船 (2208) 、長榮 (2603) 均表現佳。紡纖廠各擁利器，挑戰產業環境不確定，其個股聚陽 (1477) 、儒鴻 (1476) 、廣越 (4438) 齊步走揚。具高殖息題材的兆豐金 (2886) 以及三大營運引擎發動的新光金 (2888) 亦獲買盤敲進，分別站回月線、5日線上，其他金融股 富邦金 (2881) 、國泰金 (2882) 、開發金 (2883) 、永豐金 (2890) 股價同樣振奮。而今年拚轉盈的艾美特-KY (1626) 和營運表現亮眼的達豐科 (3004) 今日大步攻上漲停。<BR> 5日RSI為52.52，10日RSI為47.50。9日K值為38.14，9日D值為33.12。20日乖離率為-0.68。分析師指出，受到美股收高帶動下，台股今日強勢反彈，但上周四周五大盤下殺時的成交量，均逾千億元，若要明顯呈現多空扭轉，量能上必須有所支持，低檔支撐仍有待確認，弱勢格局還有需要化解的空間。目前台股均線型態仍呈現空頭排列，增添多方反撲的難度，短多力道的強度與攻勢能否延續，亦將攸關反彈空間，建議可多加留意電子為主的權值股表現，藉以評斷短多的彈升力道。然台股相關蘋果供應鏈股價皆已事先反映，儘管目前為產業淡季，股價不易有強勢表現機會，但短線不至於見持續重挫的壓力。法人則指出，農曆年前紅包行情主要是由內資主導中小型股走勢，其可判斷市場信心仍維持正向，大盤技術面處弱勢，平常心看待指數位置。（編輯整理：葉時安）,https://tw.stock.yahoo.com/news/集中市場-台股揚眉吐氣-三大法人買超105-92億元-071301051.html
3804,1546852845223_N01,news,yahoo股市,重大要聞,2019-01-07 16:52:00,日盛投顧：台股收漲2.21%，重新站回5、10日線,Moneydj理財網,"1.因FED暗示將調整升息的步伐，加上中美貿易談判展開，激勵亞洲股市普遍轉強。周一台股跳空開出，盤中蘋概股2330台積電、2317鴻海、3008大立光走強與金融、塑化等傳產轉強，指數震盪走高，重新站回5、10日均線。終場收在9,590.30點，上漲207.79點，漲幅2.21%。<BR> 2.OTC指數在6488環球晶、5347世界持續反彈下，終場收124.15點，上漲1.49%，創近10個交易日收盤新高。<BR> 3.加權技術面與籌碼面：<BR>(1)均線：周一台股收跳空長紅K線，重回5、10日均線之上。<BR>(2)量能：成交量縮至918.68億元，後續宜快速補量。<BR>(3)技術指標：日KD指標轉向上、MACD柱狀體零軸之下走高。<BR>(4)法人籌碼：三大法人合計+105.93億元；外資+82.34億元、投信+8.33億元、自營+15.26億元。<BR> 蘋概、金融、塑化轉強<BR> 1.電子類股<BR> (1)5G(光通)、CES：1/9 CES即將開展，5G、AI、電競仍為今年秀展的主軸，5G的3234光環、4979華星光在創波段新高；電競(主機板)相關2376技嘉、2377微星、2353宏?痋B2357華碩尾盤股價緩步走高。<BR> (2)蘋概股：上周五美股強彈，APPLE上漲4.27%帶動台灣的相關供應鏈，2330台積電、3008大立光、2317鴻海收盤上漲超過2%；連動小型股則有6456 GIS-KY、4943康控-KY止跌反彈。<BR> (3)矽晶圓、被動元件：6488環球晶、6182合晶，開高後緩步放量拉升，連續第二天上漲；被動元件2327國巨、2492華新科跌深反彈。<BR> 2.非電子類股<BR> (1)生技：1789神隆積極跨足針劑製劑領域，獲外資連日買超，股價連續兩日上揚；此外，市場傳4123晟德將參與6567生控10萬張股票私募案，持續擴展新藥版圖，股價放量創近期收盤新高。<BR> (2)塑化：上周五國際原油價格上揚超過1%，加上短期整體族群跌幅已深，1301台塑、1303南亞、1326台化、6505台塑化發動急彈，帶動1312國喬、1314中石化類股集體上揚。<BR> (3)金融：金融族群受2888新光金的領漲下，2801彰銀、2880華南金、2883開發金、2885元大金、2883台新金、2890永豐金全面上漲。",https://tw.stock.yahoo.com/news/日盛投顧-台股收漲2-21-重新站回5-10日線-085241030.html
4004,1546905081693_N01,news,yahoo股市,最新財經新聞,2019-01-08 07:21:00,晨間解析：蘋概股反彈，台股破底翻，挑戰月線反壓,財訊快報 鄭心丹,"美中貿易戰暫緩，在北京舉行首次談判，川普有信心達成協議，以及美國聯準會偏鴿派，激勵美股大反彈；中國人民銀行(4日)宣布下調金融機構存款準備金率1個百分點，意味貨幣政策走向寬鬆，中國政府大舉推出貨幣政策及財政政策刺激景氣，帶動陸股連2日上揚，上證指數漲0.72%，收2,533.09點。台股週一(7日)大漲207.79點，收在9,590.30點，漲幅2.21%，但成交值不到千億元。<BR> 各大類股齊揚，大型權值股大反攻，全力拉抬指數，外資翻多買超上市股票82.21億元，投信買超8.3億元，自營商連三買，合計三大法人買超105.8億元。外資加碼期貨6,510口，台指期淨多單3.7萬多口。技術面，台股破底翻，指數在9,319.28點留下影線，出現跳空反彈，一舉收復5日及10日均線，9日KD值二度交叉向上，短線有反彈空間，上檔月線及季線反壓，分別在9,656及9,764點，至於短線拉回，不宜填補9,427至9,460點的跳空缺口，但中長期趨勢仍偏空，操作仍需謹慎，而上市櫃各公司去年12月營收陸續公佈後，仍將牽動個股走勢。<BR> 蘋果股價強彈，蘋概三巨頭吹起反攻號角，台積電(2330)收213元，上漲2.4%；鴻海(2317)收69.3元，上漲2.51%。股王大立光(3008)公布去年12月營收衰退3成多，本週四(10日)法說會前，外資將關注營運展望，股價跌深反彈，以3,105元作收，漲幅6.8%。此外，GIS-KY(6456)上季營收創高，股價強力攻頂，可成(2474)、康控(4943)、美律(2439)等同步大漲，但是否只是短暫的反彈現象，後續仍需觀察蘋果走勢，以及蘋概股利空測試不破底等反應。去年外資賣超台股3,551.39億元，接下來還是要看外資臉色，但外資又取決於美股多空表現。<BR> 美國消費性電子展(CES)即將登場，今年首重應用5G、AI 和自駕車等，相關概念股，短線成為市場投資亮點。光通訊族群火紅，聯亞(3081)強攻漲停板，光環(3234)一度攻頂，華星光(4979)、眾達(4977)，聯鈞(3450)等漲幅3%左右。IC基板的景碩(3189)大漲7%，同欣電(6271)、南電(8046)跟進，低價PCB的金像電(2368)亮燈漲停。被動元件的國巨(2327)、華新科(2492)領軍反彈，二極體的麗正(2302)、強茂(2481)雙雙漲停板。另外，豐達科(3004)、榮科(4989)、新鉅科(3630)、勝麗(6238)、力致(3483)、達邦蛋白(6578)等中小型股扮演人氣指標，新光金(2888)開高走高，站回5日及10日均線上，也展開一波跌深強彈攻勢。",https://tw.stock.yahoo.com/news/晨間解析-蘋概股反彈-台股破底翻-挑戰月線反壓-232134135.html
4212,1546907902403_N01,news,yahoo股市,重大要聞,2019-01-08 08:18:00,【大慶證券】盤前分析－美股強力反彈 台股挑戰月線,鉅亨網 大慶證券,◆盤勢分析<BR> 中國副總理劉鶴意外現身中美經貿磋商首日會談，提高市場對雙方達成協議的樂觀程度，美股四大指數開高略微震盪後持續走高，僅管漲幅有所收斂，但終場仍以紅 K 棒作收，全數站回月線之上，其中以費半指數上漲 1.95% 最為強勁，研判短線在日 KD 持續交叉向上下，將延續波段反彈行情，挑戰季線反壓，唯市場依舊觀望中美貿易、FED 貨幣政策與美國政府關門等事件的影響，多方追價意願不高，仍需留意再度壓回修正的可能。<BR> 受惠 FED 主席發表鴿派言論，以及 12 月非農就業數據優於預期，美股上周五全面走揚，激勵台股昨日跟隨美股氣勢，開盤跳空開高 77 點後一路走揚，最高來到 9596 點，成功站回 5 日線及 10 日線之上，終場以 9590 點作收，上漲 207 點，留下長紅 K 棒，展現破底翻揚氣勢，形成島狀反轉，且指數重新站回 9500 點關卡之上，日 KD 指標也轉為交叉向上，外資期現貨也同步偏多，有望扭轉目前大盤的弱勢格局，但昨日收盤台股成交量僅 936 億元，考慮上周指數下殺時量能高達千億元的水準，因此量能需回升至千億元左右才可以確立低檔支撐位置，研判短線仍以反彈行情視之，上檔月、季線壓力依然沉重。<BR> 在美股全面翻揚下，台積電、大立光及鴻海同步轉強，連帶先前跌深的蘋概股如可成、聯電、仁寶、美律等也強勢表態，加上國泰金、富邦金、新光金等金融股，以及台化、台塑、台塑化等傳產股同步站在多方，帶動台股呈現開高走高格局。櫃買指數昨日也同樣開高走高，盤中最高來到 124 點，離月線反壓僅一步之遙，5G 概念股持續扮演盤面主流，包含波若威、光環、聯亞、正文等個股持續走強，跌深的紡織股如福懋、儒鴻、百和、豐泰、遠東新等也分別上漲 1.5-3.7% 不等，受惠年節旺季來臨的統一、味全、聯華等食品股也大漲，其它電子股包含光學鏡頭、被動元件及 IC 設計等族群也受到多方青睞而表態，顯示營運展望強勁的族群依舊是目前盤面的焦點，但全球股市不確定性眾多，盤面輪動快速，操作上需靈活以對，相關看好族群可留意 5G、生技、紡織、利基型 IC 等。<BR>,https://tw.stock.yahoo.com/news/大慶證券-盤前分析-美股強力反彈-台股挑戰月線-001831378.html
